Example 21.4
Six Month and Three Month
Treasury Bill Rates, USA, January 1982
to June 2001

GS3M = three month rate (%)
GS6M = six month rate (%)

obs	GS3M		GS6M		
				
1982:01	 12.92000	 13.90000		
1982:02	 14.28000	 14.81000		
1982:03	 13.31000	 13.83000		
1982:04	 13.34000	 13.87000		
1982:05	 12.71000	 13.13000		
1982:06	 13.08000	 13.76000		
1982:07	 11.86000	 12.80000		
1982:08	 9.000000	 10.51000		
1982:09	 8.190000	 9.830000		
1982:10	 7.970000	 8.630000		
1982:11	 8.350000	 8.800000		
1982:12	 8.200000	 8.590000		
1983:01	 8.120000	 8.330000		
1983:02	 8.390000	 8.650000		
1983:03	 8.660000	 8.860000		
1983:04	 8.510000	 8.780000		
1983:05	 8.500000	 8.700000		
1983:06	 9.140000	 9.440000		
1983:07	 9.450000	 9.850000		
1983:08	 9.740000	 10.16000		
1983:09	 9.360000	 9.730000		
1983:10	 8.990000	 9.390000		
1983:11	 9.110000	 9.480000		
1983:12	 9.360000	 9.760000		
1984:01	 9.260000	 9.560000		
1984:02	 9.460000	 9.770000		
1984:03	 9.890000	 10.27000		
1984:04	 10.07000	 10.47000		
1984:05	 10.22000	 11.02000		
1984:06	 10.26000	 11.24000		
1984:07	 10.53000	 11.27000		
1984:08	 10.90000	 11.37000		
1984:09	 10.80000	 11.19000		
1984:10	 10.12000	 10.52000		
1984:11	 8.920000	 9.340000		
1984:12	 8.340000	 8.760000		
1985:01	 8.020000	 8.450000		
1985:02	 8.560000	 8.870000		
1985:03	 8.830000	 9.450000		
1985:04	 8.220000	 8.710000		
1985:05	 7.730000	 8.070000		
1985:06	 7.180000	 7.460000		
1985:07	 7.320000	 7.570000		
1985:08	 7.370000	 7.710000		
1985:09	 7.330000	 7.640000		
1985:10	 7.400000	 7.710000		
1985:11	 7.480000	 7.680000		
1985:12	 7.330000	 7.500000		
1986:01	 7.300000	 7.530000		
1986:02	 7.290000	 7.470000		
1986:03	 6.760000	 6.890000		
1986:04	 6.240000	 6.360000		
